App_Name,date,text,rating,variation,predicted_sentiment
Apple iPhone XR (64GB) - Black,21-04-2019,went iphone xr month considerationamazon fering really good discounts felt time right upgrade used iphone 6 four seamless years,1,black,negative
Apple iPhone XR (64GB) - Black,27-01-2019,best mobile favourite nice xr amazing futures best camera thanks amazon,5,purple,positive
Apple iPhone XR (64GB) - Black,21-07-2019,dont buy apple products amazon got defective product activating first charging iphone started heating like anything since 10 days replacement policy asked amazon replace product defective poor customer service amazon didnt change iphone rather told visit service centre defective product operating,1,red,negative
Apple iPhone XR (64GB) - Black,04-04-2019,face recognition slower times complaints ab die hard fan xr eagerly waiting dual sim iphone ’ heavy looks attractive ready carry little extra weight using since two months ’ watch reviews buy enjoy yes ’ expensive sometimes rather many times money worth happiness,5,white,positive
Apple iPhone XR (64GB) - Black,12-04-2019,great phone happy phone far,5,green,positive
Apple iPhone XR (64GB) - Black,04-06-2019,lots reviews net xr would give quick points based experience xr 128 gb,5,yellow,positive
Apple iPhone XR (64GB) - Black,27-11-2018,’ buy phone waste money hang ’ many time,2,black,negative
Apple iPhone XR (64GB) - Black,24-09-2019,steve jobs gone phone gone,1,red,negative
Apple iPhone XR (64GB) - Black,09-12-2018,single sim working fine using esim phone good quality dual sim many times number showing switched f,3,purple,positive
Apple iPhone XR (64GB) - Black,01-01-2019,supporting type sim network gets disconnected sometime,1,white,negative
Apple iPhone XR (64GB) - Black,06-06-2019,always unhappy size previous iphones iphone 7 5s badly needed upgrade ’ budget 1lakh took chances xr happy purchase,5,green,negative
Apple iPhone XR (64GB) - Black,06-02-2019,product lets whole high end feel iphone apple packed sophisticated tware hardware system rather disappointing design phone bulkier heavier competition market premium feel product completely let left enjoy good tware interface ios excellent camera overall cheap buy apple lover first time user phone totally let,3,yellow,positive
Apple iPhone XR (64GB) - Black,13-07-2019,im facing speaker related issues given handset xr 64 gb service center denied repair stating handset fake valid warrenty,1,black,negative
Apple iPhone XR (64GB) - Black,24-04-2019,amazing product yet apple know many people confused wheather go apple x xr well frank suggest xr purely fact xr 1yr support apple respect x dual camera x single camera xr quality far speed goes xr dual sim got ta understand insert 1 sim 2nd sim esim needs activated telecom service providers theres much difference display well xr rules,5,purple,positive
Apple iPhone XR (64GB) - Black,05-02-2020,taken phone phones holds many defects issues talk h pice precise hold voice creaky voice audible phone even partially away chinm h,1,red,negative
Apple iPhone XR (64GB) - Black,10-09-2019,two angles smartphones generally looked honest review genuine user understand really wants apple,5,white,positive
Apple iPhone XR (64GB) - Black,11-04-2019,smooth butter lag awesome display superb camerajust perfect phone,5,green,positive
Apple iPhone XR (64GB) - Black,15-04-2019,using around week ’ snappy fast power efficient gives back whole day average use single impressive rear camera selfie camera excellent low light performance average though phone bulky heavy weighing 190 grams surely need use protective case protect camera bump glass sides display crisp,5,yellow,positive
Apple iPhone XR (64GB) - Black,14-05-2019,far best smartphone ever owned,5,black,positive
Apple iPhone XR (64GB) - Black,26-11-2018,perfect phone great camera great performance great look great battery life good display worth trade f perfect size,5,purple,positive
Apple iPhone XR (64GB) - Black,07-10-2019,never buy amazon poor product customer carei bought received 3102019 noted crack right top corner display visible plastic sticker removed complained amazon customer cell 4102019 assured replacement nothing happened called number times simply tranfer calls diiferent sections assurinng call back calling back apple says duty amazon take measures replacement still left nowhere money gone damaged product,1,red,negative
Apple iPhone XR (64GB) - Black,01-11-2018,extremely easy use good specifications,5,white,positive
Apple iPhone XR (64GB) - Black,18-05-2019,best iphone ’ used sold one plus 6 got one screen oled miss deep blacks saturation noticed colours better older iphones lcd also thick bezels take time get used oled screen would ’ wonderful apple apple wont,5,green,positive
Apple iPhone XR (64GB) - Black,17-06-2019,poor front camera take photo light background photo attached,1,yellow,negative
Apple iPhone XR (64GB) - Black,16-08-2019,first phone apple confusion buying pixel iphone even though pixel far superior apple departments went iphone due craziness product well packed delivered started using phone screen looks average battery good hardware seems good camera disappoints al lot never expect apple particular front camera worst indoor lightning conditions see dots image like vga camera cost 60k curious ab camera disappoints badly even motorola camera works well crazzy brand go else definitely go models market,1,black,negative
Apple iPhone XR (64GB) - Black,13-08-2019,appario seem fraud shipment smartly tampered managed overcome security features even iphone package back label tampered amazon customer care phone twitter help need return get replacement,1,red,negative
Apple iPhone XR (64GB) - Black,12-11-2018,beautiful fast stylish iphone ive ever,5,purple,positive
Apple iPhone XR (64GB) - Black,11-06-2019,like every time apple mesmerised ’ great creation iphone xr best part unbox brand new iphone comes earpod fast charger understand price might bit high trust ’ worth camera best feature within everyone says ’ lcd screen ’ nit able differentiate looking screen phone performance faster last least really impressed battery back time really lasts full charge 10 whole day cellular data played pes2019 played songs ube music hovering whatsapp instagram facebook clicked good photos came back home 11 ’ clock still 66 charge ’ needed iphone,5,white,positive
Apple iPhone XR (64GB) - Black,15-09-2019,iphone xr excellent doubt ab first time iphone experience great experience unhappy ab dual sim performance may solved problem,3,green,positive
Apple iPhone XR (64GB) - Black,10-03-2019,iphone user always upgraded iphone xr iphone 6 regrets love ease face recognition brings freedom 128gb memory brings course peace mind apple brand name brings,5,yellow,positive
Apple iPhone XR (64GB) - Black,25-05-2019,phone wont turn,1,black,negative
Apple iPhone XR (64GB) - Black,05-05-2019,lot criticism iphone xr ab inability take portrait pics “ human faces ” though true easily overcome downloading tware app “ halide ” near negligible difference viewing experience puts par iphone xs even xs max go it— 256 gb storage version,5,purple,negative
Apple iPhone XR (64GB) - Black,09-08-2019,prices fallen rs 10000 3 days bought phone feel terrible,1,red,negative
Apple iPhone XR (64GB) - Black,22-08-2019,faulty product delivered amazon giving replacement cheating customer making money scam defective product delivery phone usable display stop working randomly screen freeze suddenly provide problem video also amazon within 10 days replacement amazon making money cheating customer,1,white,negative
Apple iPhone XR (64GB) - Black,09-12-2019,iphone good probably received defective piece amazon facing issues tware never heard iphone hanging issue facing attached video regarding within month visit customer care still facing issues worst experience ’ buy amazon,1,green,negative
Apple iPhone XR (64GB) - Black,28-11-2018,super fast performance long battery hours little heavier iphone 7 plus overall good phone,5,yellow,positive
Apple iPhone XR (64GB) - Black,25-06-2019,many drawbacks apps developed iphone indian companies ’ good ’ even normal tatkal booking irctc app unavailable dual whatsapp one number wasted dual facebook well maximum 5gb cloud backup storage limit apps get refreshed frequently better enhancements android features search apps easily wifi disconnected loses auto join features maximum 100 call records ’ annoying difficult set primary secondary sims sms whatsapp features missing,2,black,negative
Apple iPhone XR (64GB) - Black,24-11-2018,heavy weight u use ull feel hard hold regular note,3,red,negative
Apple iPhone XR (64GB) - Black,22-07-2019,multiple issues faced since started installing restoring icloud gets hangedstuck suddenly wifi gets disconnected doesnt get connected till restart deteriorated network speed usage data,1,purple,negative
Apple iPhone XR (64GB) - Black,08-08-2019,first f battery life incredible first phone used get two days use one charge would regularly charge phone overnight one night go bed midnight 5560 left next night leave unplugged finish next day midnight around 25 size phone ab perfect holdingscrolling one hand usually wear men ’ size medium gloves reference,5,white,positive
Apple iPhone XR (64GB) - Black,04-04-2019,compared xs visible difference would screen kept side side,5,green,positive
Apple iPhone XR (64GB) - Black,27-03-2019,awesome iphone upgraded iphone 6 notice significant different display touch xr certainly faster ’ worth upgrade thank amazon delivering securely,5,yellow,positive
Apple iPhone XR (64GB) - Black,21-01-2019,got phone fer price everything great packing delivery display quality good dual sim option good got esim airtel,5,black,positive
Apple iPhone XR (64GB) - Black,16-07-2019,bought phone wife shes absolutely happy phone,5,purple,positive
Apple iPhone XR (64GB) - Black,04-09-2019,want replace iphone since got worked well w week later speed slowed even hangs sometimes 3 months since got n already irritated device lighting usb already stopped working,1,red,negative
Apple iPhone XR (64GB) - Black,17-04-2019,great phone better photos low light battery usage much better x,5,white,positive
Apple iPhone XR (64GB) - Black,03-06-2019,overall ’ pretty nice phone honestly ’ find much difference features old iphone 6 apart face recognition,4,green,positive
Apple iPhone XR (64GB) - Black,28-11-2018,good phone,5,yellow,positive
Apple iPhone XR (64GB) - Black,18-07-2019,’ using android close decade decided check ios thanks amazon prime sale got iphone xr discounted pricestill expensive coming iphone using phone 3 days points came across,4,black,positive
Apple iPhone XR (64GB) - Black,30-09-2019,using phone since 2 months review hope find useful,5,red,positive
Apple iPhone XR (64GB) - Black,16-06-2019,skeptical looking xr reviews also purchasing iphone f amazon previously always bought apple stores however far happy delivery fast prime next day original packing phone box phone working fine touchwood issues deal good 10 additional hdfc discount go 128 gb even higher extra thousand worth run space,5,purple,positive
Apple iPhone XR (64GB) - Black,27-10-2019,got defective iphone xr screen defective ’ blue shade four sides screen phone ’ working completely fine though whoever purchased phone unboxing please check device thoroughly mistake thought maybe ’ something related tware fixed tware update ’ belief skipped 10 days return policy well still ’ blaim amazon purchased airpods well still appario sell defective products customers go hassle getting screen replaced service centre service centre keep phone least 710 days ’ disappointing go brand new phone reason ’ upload pic bcuz visible pic taken another phone,2,white,negative
Apple iPhone XR (64GB) - Black,03-12-2018,good,5,green,positive
Apple iPhone XR (64GB) - Black,03-10-2019,chose iphone xr x reasons 61inch display supports dual sim battery durability longs last got brand new peace made 2019 september defect,5,yellow,positive
Apple iPhone XR (64GB) - Black,29-01-2020,great india sale saw model fer sister dying get new phone since old phone barely keeping finally made mind arranged funds got sister,5,black,positive
Apple iPhone XR (64GB) - Black,09-07-2019,phone looks beautiful bought one month thru amazon put sim speaker working difficult listen voice sometimes becomes disconnected although android phone working good place dont know contact ab complaint,1,purple,negative
Apple iPhone XR (64GB) - Black,03-06-2019,transition android ios felt android user friendly compared ios,5,red,positive
Apple iPhone XR (64GB) - Black,22-04-2019,able activate iphone several attempts today purchased,1,white,negative
Apple iPhone XR (64GB) - Black,24-11-2019,hello friends honest review using almost 2 months using android since last seven years decided go iphone pros cons according felt using almost 2 months,4,green,positive
Apple iPhone XR (64GB) - Black,01-06-2019,upgrading 6s xr first reactions,4,yellow,positive
Apple iPhone XR (64GB) - Black,17-01-2020,everything look good never expect,1,black,negative
Apple iPhone XR (64GB) - Black,08-10-2019,upgraded 5s xr 3 years 5s use purchased ₹37999 low battery issues 5s choose xr rather iphone 8 7 even 6s even bought 5s 3 years initial launch,5,red,negative
Apple iPhone XR (64GB) - Black,25-08-2019,start review ’ let know love apple brand ’ never used 1080p oled phone life screen seems perfectly normal said ’ dive review got phone prime day sale ’ using almost month thoughts ab phone,5,purple,positive
Apple iPhone XR (64GB) - Black,07-05-2019,got product amazon flash sale got decent discount using device days certainly say iphone best battery life till date phone lasted almost 30 hours heavy usage face recognition certainly improved iphone x thing dislike ab phone screen quality ’ find major difference screen quality unless stream netflix watch ube overall feel one best iphones apple launched,4,white,positive
Apple iPhone XR (64GB) - Black,10-08-2019,always feel cheated buying iphone get cheaper every next 23 months,4,green,negative
Apple iPhone XR (64GB) - Black,29-11-2019,using phone decided buy phone checked negative reviews first buying thought using first give feedback perfect phone advanced features normal user worth price moving unto flaws seen feedbacks complaining ab display low resolution lcd opinion ’ spot difference iphone displays another thing ’ seen lot people complaining ab single camera however picture quality get amuse,5,yellow,positive
Apple iPhone XR (64GB) - Black,01-08-2019,bought prime sale love use apple products simplicity using iphone 6 thought updating xs xs max lakh india iphone xr bang buck prime day deal sweet surprise operation touch responses silky smooth dual sim esim works like charm rear camera awesome face detection ai bookeh portrait mode screen resolution good crisp pixel issues lacks 3d touch apple incorporated taptic engine updated replace 3d touch functionality eventually though present limited apps good notch area though ok manage overall nice update,5,black,positive
Apple iPhone XR (64GB) - Black,02-10-2019,received product next day packaging good cellphone box cover thing phone working fine times apps automatically closes bit confused genuine product would suggest people buy amazon go nearest store buy,1,purple,negative
Apple iPhone XR (64GB) - Black,04-11-2019,recent convert android used samsung xiaomi phones earlier initial impression,3,red,positive
Apple iPhone XR (64GB) - Black,23-08-2019,’ get swayed lame reviewers ube u r holding iphone purchase real deal xr jack trades although excelling a12 bionic beastn ’ uff said already stereo speakers sound sweet battery life great found bashed ab lcd display pragmatic everyday usethe portrait shots taken camera look stunnerwith reason price cut turned vfm iphone ever made,5,white,positive
Apple iPhone XR (64GB) - Black,10-10-2019,received product yesterday product looks perfectly awesome,5,green,positive
Apple iPhone XR (64GB) - Black,19-01-2020,excellent phone using since 3 months problem classy product bought diwali sale 39k excellent battery backup lasting day mind heavy user excellent photos siri works well issues faced must go chinese product price segment,5,yellow,positive
Apple iPhone XR (64GB) - Black,11-08-2019,iphone working since opened box apple support little help amazon taking return asking report apple chase apple get report nightmare starts buy amazon,1,black,negative
Apple iPhone XR (64GB) - Black,05-02-2020,many pros ab phone must already aware would like point cons,4,red,positive
Apple iPhone XR (64GB) - Black,15-01-2020,face id front camera portrait mode isnt working 3 months purchase must problem true depth sensor city imphal apple servicing centre doesnt allow take servicing tells go guwahati assam problem may coincidence problem happened used amazon basics 10w fast wireless charger combine xiaomi quick charge 3,1,purple,negative
Apple iPhone XR (64GB) - Black,08-10-2019,using iphone 6 since last three years switching iphone xr following things impressed,5,white,positive
Apple iPhone XR (64GB) - Black,29-09-2019,camera superb,5,green,positive
Apple iPhone XR (64GB) - Black,20-10-2019,bought iphone xr october amazon great indian festival deep discount rs 38000 discounts applied wow deal thank amazon,5,yellow,positive
Apple iPhone XR (64GB) - Black,16-08-2019,nothing beat iphone fourth phone iphone se iphone 6 iphone 8 purchased amazon excellent phones except screen resolution iphone xr nothing less xs xs max fact battery life twice iphone 8 face recognition excellent even dark android phones lack technology white beautiful color delivery scheduled deadline good external packing,5,black,positive
Apple iPhone XR (64GB) - Black,01-08-2019,bit worried ab authenticity buying iphone online unknown seller paying huge amount took risk would say amazon seller done wonderful job checked product apple website genuine product 1 year warrantyiphone iphone best processorcamera good battery life good gaming regular updates apple,5,red,positive
Apple iPhone XR (64GB) - Black,14-10-2019,ios,5,purple,positive
Apple iPhone XR (64GB) - Black,13-03-2019,’ awesome mobile overall ’ really good hats f apple provide kinda awesome products,5,white,positive
Apple iPhone XR (64GB) - Black,01-10-2019,iphone xr goes blank next day,1,green,negative
Apple iPhone XR (64GB) - Black,24-01-2020,sceptical first received phone ’ good mint condition upgrading iphone 7 ’ worth iphone 7 3 years old lagging took leap camera like android phone chinese lens think battery life soothing face recognition like butter ’ know happen future best part upgrading screen size totally worth videos bit dull cost ’ worth thank amazon sending duplicate phone,5,yellow,positive
Apple iPhone XR (64GB) - Black,25-05-2019,well buying iphone never switching back android,5,black,positive
Apple iPhone XR (64GB) - Black,20-06-2019,two months phone got destroyed screen filled water ip certification nil bloody ios,1,purple,negative
Apple iPhone XR (64GB) - Black,24-08-2019,battery quality worst honor 8c gives 2 days backup phone last 12 hours medium usage fast charger takes tradatitional 3 hours full charging u want waste money go u r brand conscious buy brands phone much better configurations almost half price,2,red,negative
Apple iPhone XR (64GB) - Black,27-09-2019,earpods lightning cable connector box call minutes blanks callnot even bip kindly give suggestions rectify,5,white,positive
Apple iPhone XR (64GB) - Black,01-10-2019,got 38k prime early access one best purchase value money considered ios 13 future releases might make even snappier battery consumption efficiency played wow blitz 60fps found issues post pubg fortnite review days battery back ab 6hrs screen time apps usage scenario,4,green,positive
Apple iPhone XR (64GB) - Black,02-11-2019,ordered phone diwali fer phone got first display issue got replacement thatmy previous phone iphone 6 plus one week using phone honest review firstly phone excellent battery life average use battery lasts day easily although charging takes time ie ab 2 3 hours 10 100 used iphone home button ’ feeling bit uncomfortable phone home button swipe every time bottom top unlock phone finger print sensor ’ bit difficult unlock ur bed u put ur face front phone face id reach ability issue u use one handed especially using facebook u swipe bottom line make ur finger reach top screen clicking options display screen bit iphone 6 plus phone ab satisfactory,4,yellow,positive
Apple iPhone XR (64GB) - Black,18-08-2019,good 52k price got phone phone ’ worth 76k launched 52k justifies,5,black,positive
Apple iPhone XR (64GB) - Black,18-10-2019,bought prime sales aside discount bought paying 36k,5,purple,positive
Apple iPhone XR (64GB) - Black,20-05-2019,latest fering phone simply great camera superb glass back looks ultra premium though would suggest get back protective case glass fragile got white pay 1400 extra looks best white spending 60000 phone whats 1400 get best,5,red,positive
Apple iPhone XR (64GB) - Black,14-08-2019,fantastic mobile nicely integrated hardware tware nothing ever comes close apple product smooth touch lag face identification works well camera good battery lasts 24 hours moderate usage superb audio video quality ios updates always smooth apps wonderful👍amazon delivery dot fer available authorized reseller stores happens around time apple launches new version iphone,5,white,positive
Apple iPhone XR (64GB) - Black,03-10-2019,iphone sim card slot working right beginning,1,green,negative
Apple iPhone XR (64GB) - Black,01-10-2019,dude confused first one buy oneplus 7pro iphone xr choosen xr 40k fer every thing ia good dissapointed tha camera quality display quality really iphone 7plus also display far far better xr camera also better know iphone 7plus dual camera thats ok dude detailing missing also zooming also missing get digital zoom reduces tha quality,5,yellow,positive
Apple iPhone XR (64GB) - Black,31-01-2020,initial review said iphone xr best iphone people right thoughts ab havent changed six months later still best iphone market fering smooth terrific user experience expensive iphone xs xs max knowledge youre also getting best battery life fact battery life par better p30 pro galaxy s10 fer thats saying something,5,black,positive
Apple iPhone XR (64GB) - Black,06-07-2019,facing cellular network issue every new update per understanding hardware compatible os,1,red,negative
Apple iPhone XR (64GB) - Black,10-10-2019,purchased apple iphone xr 64gb black use,4,purple,positive
Apple iPhone XR (64GB) - Black,01-11-2019,got great indian festival 38000rs great value price,5,white,positive
Apple iPhone XR (64GB) - Black,26-04-2019,receiver failer problem,1,green,negative
Apple iPhone XR (64GB) - Black,18-02-2020,first iphone till date android user believe get phones wont switch away,5,yellow,positive
Apple iPhone XR (64GB) - Black,04-11-2019,iphone xr still great buy price vs performance ratio phone makes sensible buy ’ care ab latest greatest one year old fering apple far better buy side phone follows,5,black,positive
Apple iPhone XR (64GB) - Black,19-10-2019,never thought ab purchasing xr couldnt stop saw deal taken sudden decision bought much worried till delivery suspecting product would refurbished duplicate amazon kept thier commitment received brand new orginal iphone,5,red,positive
Apple iPhone XR (64GB) - Black,28-07-2019,first face id crazy fast accurate even pitch darkness phone fast smooth ’ feel like 3gb ram handles anything hitch phone feel premium time delicate backside glass ” know glass glass glass break ” pictures taken camera good lack night scape sort things con overall phone great although side bezels thick get used lcd screen lack anything compared oled ’ day day usage stop thinking things using daily,4,purple,positive
Apple iPhone XR (64GB) - Black,07-10-2019,looking upgrade iphone 6 confused ab iphone 11 iphone xr decided go iphone xr cost perspective camera processor pov upgrade iphone 11 rest remains,5,white,negative
Apple iPhone XR (64GB) - Black,22-10-2019,bought 45k sale,5,green,positive
Apple iPhone XR (64GB) - Black,12-10-2019,using iphone 8 plus single time ever experience phone heating even extensive usage piece however heats extent making uncomfortable hold use less 10 mins works fine usage beyond makes hot top brightness level set max becomes iron boxpun intended expected f apple device,2,yellow,negative
Apple iPhone XR (64GB) - Black,06-10-2019,screen slight dot bottom noticed fixing guard comes mfr defect apple certainly fix doesnt seem serious take apple still warranty know update,5,black,positive
Apple iPhone XR (64GB) - Black,26-01-2020,got 128 gb model since iphone almost always run space never option sd card like android devices,4,red,positive
Apple iPhone XR (64GB) - Black,28-12-2019,overall product good face id liquid retina one thing surely stand surrounding speakers really goodas per experience got impressed work put speakers sound loud clear,4,purple,positive
Apple iPhone XR (64GB) - Black,03-11-2019,iphone addict first iphone 4 6 brother gifted time upgraded xr salary n really happy specially battery life dont use camera much potrait mode much use face id recognition nice though u dont get feel holding iphone little bit big bulky side compared iphone 6 rest fuctioning everything smooth think worth purchase u iphone 6 7 go upgrade lot research 8 xs xr almost similar except features,5,white,positive
Apple iPhone XR (64GB) - Black,12-08-2019,less stuck ios platform iwatch since love functionality upgraded 3yr old iphone 7 actually waiting prices drop post september year amazon came unbelievable prime deal ’ resist,5,green,positive
Apple iPhone XR (64GB) - Black,21-11-2019,easy use serves purpose android guy like last 7 years using blackberry switched ios used iphone 5c time bit disappointed may quite young bit techie use phone basic purposes like calls whats app email social media n bit gaming n music really handles well though bit hesitant first used finger touch sensor seriously face recognition damn good works like charm even light want nonsense stuff n suits requirements go days even droids equally expensive infact expensive like fold razr etc listen heart buy ios android wont go wrong though got mine fer ₹43000 128 gb variant,4,yellow,positive
Apple iPhone XR (64GB) - Black,08-08-2019,purchased phone friend happy performance phone camera quality features industry standard anyone refraining buying iphone single sim slot please informed phone support dual sim use esim airtel jio esim facility detailed review visit review website excitedneuronsdotcom,5,black,positive
Apple iPhone XR (64GB) - Black,15-11-2019,awesome product far better spending almost double xs xs max 11 difference display camera otherwise everything would definitely bigger upgrade anyone switching iphone 8 8 entire ui different icing cake privacy utmost priority apple seems face id nobody see even notifications must buy product,5,red,positive
Apple iPhone XR (64GB) - Black,23-01-2020,still ’ understand people crazy ab iphone bough phone 42k great indian sale ’ find much difference ’ week old android operation faster detected face quickly fingerprint support also also crazy ab phone friend told never go back android ’ one reason buy phone let wait one month become addicted till ’ leave rating 4 think phone expensive ’ proving phone royal customers p go affordable,4,purple,positive
Apple iPhone XR (64GB) - Black,05-12-2019,received product manufacturing defect screen led bleeding problem contacted service team apple ready replace,5,white,negative
Apple iPhone XR (64GB) - Black,09-03-2020,iphone xr far best apple provide recent years doubt right camera horsepower battery backup everything top notch,5,green,positive
Apple iPhone XR (64GB) - Black,12-11-2019,bought xr 11 came read articles saw video reviews said real difference phones camera negligible worth price difference,4,yellow,positive
Apple iPhone XR (64GB) - Black,19-11-2019,opinioni dont know people saying excellent display personally dont like display doubt colour accuracy good touch response good sharp text looks blurry,3,black,positive
Apple iPhone XR (64GB) - Black,16-09-2019,ive using iphone xr 10 months far everythings hunkydory,4,red,positive
Apple iPhone XR (64GB) - Black,04-10-2019,thanks amazon giving great deal iphone xr 128gb absolutely fantastic good battery life camera performance since 6 months waiting upgrade 6s compare 6s xr bit bigger screen size apart great device use thanks seller 3 years back got 6s seller still works pretty well issues,5,purple,positive
Apple iPhone XR (64GB) - Black,12-06-2019,love phone especially since wanted long time would recommend apple owners looking become iphone ownerscamera quality amazing able activate esim hazzels 2 reasons switched old phone forsize concern initially since accustomed iphone 5 se 6 lightning cable disadvantage phone charging point n headset points knew getting got used,5,white,positive
Apple iPhone XR (64GB) - Black,13-11-2019,believe firmly best affordable phone apple ever made,5,green,positive
Apple iPhone XR (64GB) - Black,10-10-2019,battery life surely amaze buyer use charge iphone 7 plus 100 percent fice 10am returning 7 pm used approx 78 percent remaining use phone basic tasks pubg break xr came hand first day forgot charge phone 100 percent took fice 62 percent amazingly 33 percent charge leaving fice even played 3 evoground matches pubg day break dream long lasting ios enabled devices came true spectacular device one blindly go performance battery huge concern,4,yellow,positive
Apple iPhone XR (64GB) - Black,30-09-2019,wow wow apple iphone xr looks amazing stunning white colour thanks amazon giving best price market love amazon quick delivery packaging great secure packaging comes phone 8 years using iphone used iphone 4s coming back android phones ios makes mee feel happy phone beast go,5,black,positive
Apple iPhone XR (64GB) - Black,19-08-2019,always iphone user till 8 thought changing note 8 loved phone period time started realising nothing like ios iphone using two high end androids keep changing phones witched back iphone omg must say even become better smooth like butter pan iphone x r beauty liquid retina awesome beautiful make miss oled also battery back woooowww first ever phone bought thru amazon skptical thought taking risk yes amazon delivered promised thru freedom sale got good deal 128 gb everyday fall love phone,5,red,positive
Apple iPhone XR (64GB) - Black,14-10-2019,61 inches screen phone pretty good feels heavy pales comparison actual features phone unlockedi informed phone tracked even switched f per new ios 13 update camera quality better front back fast charging great like idea body aluminium made compared latest checking reviewing holds better drop tests face id recognition great need back form app lock unauthorized usageoverall great phone amazing price miss chance buy even feel heavy wallet wont get good phone loaded features else whereits like iphone 7 benchmark future models goes phone,5,purple,positive
Apple iPhone XR (64GB) - Black,07-10-2019,excellent deals fered amazon 38k bank discountbest iphone every aspectgood camera battery backup excellent looks elegantfeels premium handand one think said though 720p display display excellent qualitythere panicked ab itand also played 1080p video ubeso go itthis best budget iphone price pointthank amazon,5,white,positive
Apple iPhone XR (64GB) - Black,17-09-2019,bought 128g 57k performing much faster smoother experience iphone battery life average app switching lightning fast,4,green,positive
Apple iPhone XR (64GB) - Black,12-10-2019,love 3,5,yellow,positive
Apple iPhone XR (64GB) - Black,24-11-2019,phone always like dream phone purchased diwali sale 38 k rs previous phone s8 moved xr regrates,5,black,positive
Apple iPhone XR (64GB) - Black,02-10-2019,thank amazon got iphone xr 64gb black variant 38000 big billion day sale,5,red,positive
Apple iPhone XR (64GB) - Black,14-10-2019,top end model iphone xr price 42k😎 extremely satisfied android user 6yrs first upgrade iphone battery standby next impossible smart phones days face id fabone dis covet half face bike riding ’ recognise me😂,5,purple,positive
